neighborhood,price,beds,baths,toilets,extra
Gaduwa Abuja,"₦ 2,500,000",1 beds,2 baths,2 Toilets,"ServicedIf you're looking for a home with the services of an Hotel, then you've found on.. "
By Gilmore Jahi Abuja,"₦ 2,500,000",3 beds,3 baths,4 Toilets,"Newly BuiltNewly Built 3bedroom appartment, all rooms ensuite and fitted with Toilet wares.. "
Area 2Garki 1 Abuja,"₦ 2,500,000",3 beds,3 baths,4 Toilets,"Well finished and serviced 3bedroom flat with generator, in a ground floor for r.. "
...Utako Abuja,"₦ 1,200,000",1 beds,1 baths,2 Toilets,*TO LET* Beautiful and spacious 1 bedroom penthouse with a BQ. Location: U.. 
Efab queens estateGwarinpa Abuja,"₦ 1,000,000",1 beds,1 baths,2 Toilets,"Serviced Newly Built1M rent, 10% Agency + Agreement, 24k (yearly fee for Estate management), 6K (mon.. "
News engineering dawaki on a Tarred roadGwarinpa Abuja,"₦ 1,700,000",2 beds,2 baths,3 Toilets,"Newly BuiltA standard and newly built 2 bedroom flat at news engineering dawaki, opposite g.. "
Suncity EstateLokogoma Abuja,"₦ 500,000",1 beds,1 baths,1 Toilets,"*TO LET* selfcontain in Suncity Estate lokogoma road. Features: wardrobe, .. "
By American international School DurumiGarki 1 Abuja,"₦ 1,500,000",2 beds,2 baths,3 Toilets,ServicedRent is 1.5m Agençy 150k Service charge 300k Chag.. 
Behind fish marketKado Abuja,"₦ 1,700,000",3 beds,3 baths,4 Toilets,"*TO LET* BEHIND FISH MARKET OR DIAMOND BANK KADO, 3 Bedroom flat A very nice .. "
Cbn estateLokogoma Abuja,"₦ 1,300,000",2 beds,2 baths,3 Toilets,2bedroom Bq for rent at CBN Estate Apo/Lokogoma. Rent 1.3m Agency and Legal 10.. 
"No. 13 Cotonou Street, Wuse Zone 6Wuse 1 Abuja","₦ 900,000",1 beds,1 baths,1 Toilets,A One Bedroom flat in a Block of Flat Rent: 900k Service charge: 50k Refund.. 
By American international SchoolDurumi Abuja,"₦ 1,000,000",1 beds,1 baths,2 Toilets,Newly BuiltBreaking news 1bedrooms brand new 1M 2years rent but they can take 1 and half yr.. 
By American international SchoolDurumi Abuja,"₦ 3,000,000",3 beds,3 baths,4 Toilets,"ServicedServiced 3 bedroom apartment at durumi, FEATURE: Standby generator, chandelier, .. "
Wuye Abuja,"₦ 3,200,000",3 beds,3 baths,4 Toilets,"Serviced Newly Built3bdrm flat wit 1rm BQ in wuye service wit Gen, Gas and Ac N3.2m including servic.. "
Utako Abuja,"₦ 3,000,000",2 beds,2 baths,3 Toilets,"ServicedClean and standard 24hrs Serviced 2 Bedroom and a room bq avalaible in utako, we.. "
By American international SchoolDurumi Abuja,"₦ 1,200,000",2 beds,2 baths,3 Toilets,Ezk.. 
"Lily court, behind Sahad StoresGarki 2 Abuja","₦ 1,800,000",3 beds,3 baths,3 Toilets,A Well renovated Three Bedroom flat in a block of flats Rent: 1.8M service cha.. 
Citec estate nbora Jabi Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,Newly BuiltBrand new 3 bedroom flat All rooms are ensuite with guest toilet And rooms a.. 
By vio Mabushi Abuja,"₦ 650,000",1 beds,1 baths,1 Toilets,Service charge 50k. Ezk.. 
By American international SchoolDurumi Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,A standard 3 bedroom on d second floor(last floor of a block of flat) @ 1.5m. .. 
Legislative quarters zone E extension Apo Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,"Serviced???BREAKING; TO LET???? Classic serviced 2 ( Two) Bedrooms, 3 toilets, installe.. "
Yawahab estateWuye Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,Newly BuiltThese pics were taken before the renovations. The place is ready now .. 
Close to judiciaryLife Camp Abuja,"₦ 1,500,000",3 beds,3 baths,4 Toilets,Newly BuiltStandard 3bedroom for rent at lifecamp..1.5m for rent close to judiciary .. .. 
Sam nujoma Estate GaladimawaLokogoma Abuja,"₦ 500,000",1 beds,1 baths,1 Toilets,Newly BuiltFor rent very spacious selfcontain in an Estate in Galadimawa for 500k legal and.. 
"PC Dike Crescent, NAF Valley Estate, Asokoro, Abuja.Asokoro Abuja","₦ 700,000",1 beds,1 baths,1 Toilets,Newly Built*Property description* A Newly Finished Self contained in a well secured and .. 
69th road Gwarinpa Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,A super clean 3 bedroom with bq in a very clean compound is available for rent a.. 
"Anyim Pius anyim street, off Ameh Ebutte street. Behind utako modern mktWuye Abuja","₦ 2,800,000",3 beds,3 baths,4 Toilets,Newly Built*TO LET* :????????? *Property Description* A Newly Finished and Spacious .. 
By cedercrest hospital Apo Abuja,"₦ 1,400,000",2 beds,2 baths,3 Toilets,Newly Built2bedroom for rent Agency and legal 15% Location back of ceder crest hospita.. 
By Gold court estateKatampe Main Abuja,"₦ 2,000,000",2 beds,2 baths,3 Toilets,Serviced Newly Built*LETTING* NEWLY BUILT 6 UNITS OF SERVICED AND FURNISHED 2 BEDROOM FLAT IN KAT.. 
...Guzape Abuja,"₦ 2,000,000",2 beds,2 baths,3 Toilets,"Serviced Newly BuiltNew 2 bedroom flat for rent at guzape, rent 2 million naira, Service charge 500k.. "
After national assembly quartersLife Camp Abuja,"₦ 1,200,000",2 beds,2 baths,3 Toilets,Newly BuiltSharp 2bdrm flat in lifecamp Rent N1.2m per annum.. 2nd floor. .. 
By Gilmore Jahi Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,Newly built 2 [email protected] Jahi for 2.5M including Service charge... .. 
By CosgroveKatampe Main Abuja,"₦ 2,200,000",2 beds,2 baths,3 Toilets,Serviced Newly BuiltHave a brand new 2 bedroom flat in Katampe Price:2.2m Service charge 300k I.. 
Cbn estate Lokogoma Abuja,"₦ 600,000",1 beds,1 baths,1 Toilets,One Bedroom at CBN Estate Apo-Lokogoma 600k Agency and legal 15% J.. 
Cbn estate Lokogoma Abuja,"₦ 900,000",2 beds, 2 baths,3 Toilets,Newly Built2bedroom Bq at CBN Estate 900k Agency and legal 15% PVC not POP Wardrobe wil.. 
opposite games villageGarki 1 Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,Newly BuiltTO LET: *Property Description:* An exquisitely finished and brand new 12 .. 
Ressetlement zone AApo Abuja,"₦ 500,000",1 beds,1 baths,2 Toilets,This is a very Spacious 1 bedroom in a dupelx.. the occupant of the dupelx is a .. 
By American international School durumiGarki 1 Abuja,"₦ 1,400,000",2 beds,2 baths,3 Toilets,Rent is 1.4m Caution fee is 5 percent. AGENCY and legal 15 percent .. 
By vio Mabushi Abuja,"₦ 2,500,000",3 beds,3 baths,4 Toilets,To Let Clean 3 Bedroom flat with bq in Mabushi for rent Price:2.5m .. 
On a Tarred roadMabushi Abuja,"₦ 1,500,000",2 beds,2 baths,3 Toilets,To Let Clean 2 bedroom flat for rent in Mabushi. Tarred rd. Price:1.5m. Se.. 
In an estate at gaduwa Gaduwa Abuja,"₦ 3,000,000",2 beds,2 baths,3 Toilets,"ServicedA fully serviced 2 bedroom flat tastefully furnished with air conditioners, frid.. "
Wuye Abuja,"₦ 2,500,000",3 beds,3 baths,4 Toilets,Newly Built*Quick Letting*: A brand new 2 blocks of 3 bedroom flat in wuye both on a g.. 
Osun crescentMaitama Abuja,"$ 18,000",3 beds,3 baths,4 Toilets,Serviced Newly BuiltDescription: A 3-bedroom luxury apartment with a 1-bedroom apartment BQ. Re.. 
By abc transportUtako Abuja,"₦ 3,000,000",2 beds,2 baths,3 Toilets,Furnished Serviced*FOR RENT* We have a furnished and serviced exquisite 2 Bedroom apartments wit.. 
By GilmoreJahi Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,Serviced Newly BuiltExquisitely finished brand new 2 bedroom flat at Jahi for rent. 2.5m rent payab.. 
Wuse 2 Abuja,"₦ 2,900,000",1 beds,1 baths,2 Toilets,FurnishedHave a furnished onebedroom apartment in Wuse2 for rent Price:2.9m Agency/ leg.. 
Jabi Abuja,"₦ 4,000,000",3 beds,3 baths,4 Toilets,ServicedFully serviced with 24 hours light at jabi main . Comes with a boys quarter.. 
Citec villaGwarinpa Abuja,"₦ 1,100,000",2 beds,2 baths,3 Toilets,A super spacious and clean 2 bedroom flat is available for rent citec Villa gwar.. 
"Katampe main , opposite nicon junctionKatampe Main Abuja","₦ 700,000",1 beds,1 baths,1 Toilets,TO LET A Tastefully and Exquisitely Finished 1 Bedroom Apartments located in se.. 
Suncity estateLokogoma Abuja,"₦ 850,000",1 beds,1 baths,2 Toilets,1 bedroom spacious apartment is available for rent at suncity Estate lokogoma. .. 
Wuye Abuja,"₦ 700,000",1 beds,1 baths,1 Toilets,spacious self-contained in wuye for rent. bathroom & kitchen ensuite. pop .. 
Jabi district AbujaJabi Abuja,"₦ 4,000,000",4 beds,4 baths,5 Toilets,Newly BuiltA tastefully finished 4bedroom flat with 1room BQ in Jabi district Abuja. The ap.. 
Wuse zone6Wuse 1 Abuja,"₦ 2,400,000",1 beds,1 baths,1 Toilets,Furnished ServicedStandard 1room studio furnished and serviced apartment for rent with swimming po.. 
Katampe districtKatampe Main Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,Serviced Newly BuiltA tastefully finished serviced & brand new 2Bedroom flat in Katampe district Abu.. 
Kaura district by games villageKaura (games Village) Abuja,"₦ 2,000,000",3 beds,3 baths,4 Toilets,"Serviced Newly BuiltA tastefully finished, fully serviced 3 bedroom flat in kaura District after by .. "
Katampe extension2 district abujaKatampe Ext Abuja,"₦ 2,500,000",3 beds,3 baths,4 Toilets,Serviced Newly BuiltA tastefully finished new 3Bedroom flat in katampe extension2 District Abuja. T.. 
Sauka new site FHA Lugbe Lugbe Abuja,"₦ 500,000",1 beds,2 baths,2 Toilets,"Furnished Newly BuiltNewly built lovely 1bedroom apartments, spacious palor and bedroom in a secured .. "
Jahi district by gilmor Jahi Abuja,"₦ 2,500,000",2 beds,3 baths,3 Toilets,Serviced Newly BuiltTastefully finished and newly built blocks of 2 bedroom flat is vacant to let in.. 
Maitama Maitama Abuja,"$ 68,000",3 beds,3 baths,4 Toilets,"ServicedNewly vacated and extremely maintained 3bedroom flat with Bq, well finished int.. "
River Park Estate Lugbe Abuja,"₦ 1,600,000",3 beds,3 baths,4 Toilets,Newly BuiltNewly Built 3Bedroom apartment with; Wardrobes Kitchen cabinet Gas cooker H.. 
2/2Kubwa Abuja,"₦ 600,000",2 beds,2 baths,2 Toilets,"Newly renovated 2bedroom flat, good interior finishing, beautiful interior space.. "
MaitamaMaitama Abuja,"$ 25,000",3 beds,3 baths,4 Toilets,"Serviced Newly BuiltLuxury and fully serviced 3bedroom flat with a1bedroom flat BQ, in the heart of .. "
Dawaki layout off news engineering construction company Abuja Gwarinpa Abuja,"₦ 1,000,000",2 beds,3 baths,3 Toilets,Serviced Newly BuiltTastefully finished and newly built blocks of 2 bedroom flat is vacant to let in.. 
Jahi district AbujaJahi Abuja,"₦ 2,500,000",2 beds,2 baths,3 Toilets,"Serviced Newly BuiltA tastefully finished, fully serviced & brand new 2 bedroom flat in Jahi distric.. "
Jabi Jabi Abuja,"₦ 1,600,000",3 beds,4 baths,4 Toilets,Clean 3 bedroom flat for all rooms ensuit it's located in jabi.. 
Wuse zone6Wuse 1 Abuja,"₦ 3,500,000",1 beds,1 baths,1 Toilets,"Furnished ServicedTastefully furnished 1bedroom apartment for rent with furniture, gascooker micr.. "
Jabi Airport junctionJabi Abuja,"₦ 1,000,000",3 beds,2 baths, Toilets,"3 bedroom flat constant water,light and security.. "
Jabi axisJabi Abuja,"₦ 3,500,000",3 beds, baths, Toilets,"Brand New 3 bedroom flat with bq with well finished modern facilities rent 3,500.. "
Life camp junctionJabi Abuja,"₦ 1,800,000",3 beds,4 baths,4 Toilets,It's a brand new 3 bedroom flat with adequate water light and security rent is 1.. 
Katampe districtKatampe Main Abuja,"₦ 2,000,000",2 beds,2 baths,3 Toilets,"Serviced Newly BuiltA tastefully finished, fully serviced & brand new 2 bedroom flat in katampe dist.. "
Jahi district abujaJahi Abuja,"₦ 1,500,000",1 beds,1 baths,1 Toilets,"Serviced Newly BuiltA tastefully finished, serviced brand new 1Bedroom flat in jahi district Abuja. .. "
