neighborhood,price,beds,baths,toilets,extra
NEW ROADAda George Port Harcourt Rivers,"₦ 400,000",2 beds,3 baths,0 Toilets,"Just along the road, a standard 2 bedroom apartment for rent at ada george ??al.. "
"TARRED STREET, at RUMUODOMAYAPort Harcourt Rivers","₦ 350,000",3 beds,0 baths,0 Toilets,To let: a tenant park out 3 bedroom flat (2 tenants) @ rumuodomaya.. 
Off Pschiatric RoadPort Harcourt Rivers,"₦ 200,000",1 beds,0 baths, 0 Toilets,Its a Standard flat located in a calm area with good road network network and go.. 
"ISIAH STREET,OFF CHINDAAda George Port Harcourt Rivers","₦ 160,000",1 beds,0 baths,0 Toilets,a standard self contain for rent at ada George axis of port Harcourt.. 
WojiPort Harcourt Rivers,"₦ 600,000",2 beds,0 baths,0 Toilets,"Very spacious 2 bedroom with constant light, good roads, interlock compound, wat.. "
"CHINDA, ADA GEORGEAda George Port Harcourt Rivers","₦ 300,000",1 beds,2 baths,0 Toilets,"Neatly used 1 bedroom apartment with visitors toilet for [email protected] chinda road, Ada .. "
-Eliozu Port Harcourt Rivers,"₦ 1,000,000",3 beds,0 baths,0 Toilets,"Very cool and cheap. Spacious and large 3 bedroom flat with lobby, balcony, spac.. "
PIPELINE ROAD OZUOBAPort Harcourt Rivers,"₦ 270,000",2 beds,0 baths,0 Toilets,"Nicely used all rooms ensuite visitors toilet fenced, gate & paved german fl.. "
AIRPORT ROADRupkpokwu Port Harcourt Rivers,"₦ 400,000",2 beds,2 baths,0 Toilets,Newly built house at a cool area in a serene an secure environment with good acc.. 
AT VALLEY VIEW ESTATE OFF TANKObia Akpor Port Harcourt Rivers,"₦ 500,000",2 beds,0 baths,0 Toilets,"This is a very spacious 2 bedroom with spacious kitchen, spacious sitting room, .. "
"OZUOBA, AKPOR GRAMMAR SCHOOLPort Harcourt Rivers","₦ 180,000",1 beds,0 baths,0 Toilets,very standard self contained for rent around akpor grammar school.. 
RUMUODARAPort Harcourt Rivers,"₦ 170,000",1 beds,1 baths,0 Toilets,Self contain for rent at rumuodara port harcourt. Up and downstairs available. P.. 
"AKPOR GRAMMAR SCHOOL, OzuobaPort Harcourt Rivers","₦ 300,000",1 beds,0 baths,0 Toilets,"Very standard 1 bedroom apartment for rent at Ozuoba, around akpor grammar schoo.. "
"Arcania,Ada GeorgeAda George Port Harcourt Rivers","₦ 400,000",3 beds,2 baths,2 Toilets,Tastefully finished 2/3 bedroom flats now available For Lease!! Exclusively Man.. 
...Trans Amadi Port Harcourt Rivers,"₦ 800,000",0 beds,0 baths,0 Toilets,Modern King Size 3 Bedroom Flat For Rent In Woji Port Harcourt Well finished .. 
Trans Amadi Port Harcourt Rivers,"₦ 2,000,000",beds, baths, Toilets,Luxurious Brand New 3 Bedroom Flat For Rent in Peter Odili Road Port Harcourt .. 
Trans Amadi Port Harcourt Rivers,"₦ 2,500,000",beds, baths, Toilets,Luxury Newly Built 3 Bedroom Flat For Rent off Odili Road Port Harcourt... E.. 
