neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
coker road ilupeju lagos,350000,1,1,this property is located in ilupeju in a decent and secured environment . it's s.. ,Lagos,Ikeja,Ikeja,Ilupeju,
-osapa london lekki lagos,250000,1,1,"servicedup for rent, is this bq, in a serene and secured neighborhood at lekki lagos... ",Lagos,Lagos,Eti Osa,Lekki Penninsula II,
"alagomeji, yaba.alagomeji yaba lagos",1000000,3,2,spacious 3 bedroom flat for rent. can be used for either residential or offi.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
oke ira ogba lagos,400000,1,1,this property is located in ogba it's consist of a clean renovated mini flat wit.. ,Lagos,Lagos,Ikeja,Ojodu,
lsdpc maryland estate maryland lagos,500000,1,1,this property is located in maryland in a secured and serene closed street it's .. ,Lagos,Lagos,Ikeja,Onigbongbo,100211
onigbogbolsdpc maryland estate maryland lagos,600000,1,1,this property is located in onigbogbo directly opposite maryland mr biggs area v.. ,Lagos,Lagos,Ikeja,Onigbongbo,100211
...agidingbi ikeja lagos,400000,1,1,this property is located in ikeja it's consist of a very clean executive single .. ,Lagos,Lagos,Ikeja,Agidingbi,
millennium estatelekki phase 1 lekki lagos,1300000,1,1,a miniflat at lekki phase 1 in a secured estate. price n1.3m agency 10% ag.. ,Lagos,Lekki,Eti Osa,Lekki Phase I,
jayeiola ajatta street ajao estate isolo lagos,1200000,1,2,neat and beautiful self compound 3 bed room in a very secured and serene commu.. ,Lagos,Lagos,Oshodi/Isolo,Ajao Estate,
"adekunle, yaba.adekunle yaba lagos",1000000,3,2,"description: (1st floor) 3bedroom apartment with 3 toilets and 2 baths, i.e 1.. ",Lagos,Lagos,Lagos Mainland,,
ifako gbagada gbagada lagos,700000,1,2,this property is located in gbagada it's consist of a spacious standard mini fla.. ,Lagos,Lagos,Kosofe,Gbagada,100242
"alagomeji, yaba.alagomeji yaba lagos",1300000,3,3,"3 bedroom flat in a serene, gated environment of alagomeji, yaba. rent: 1.3m.. ",Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
in a gated serene environment in yaba.yaba lagos,1000000,3,3,"spacious 3 bedroom all rooms ensuite flat wadrobes, car park, prepaid meter & lo.. ",Lagos,Oworonshoki,Surulere,Yaba,
toyin street ikeja lagos,800000,1,1,this property is located ikeja in a secured and serene environment it's consist .. ,Lagos,Ikeja,Ikeja,,
lekki phase 2 lekki lagos,1400000,1,1,serviced newly built*newly built 1bed/miniflat upstairs / wit proper kitchen inside* *rent: #1.4.. ,Lagos,Lekki,,,
"yaba, lagos.yaba lagos",1200000,2,2,a very lovely 2 bedroom all rooms ensuite flat + visitor's toilet in a block of .. ,Lagos,Oworonshoki,Surulere,Yaba,
oregun ikeja lagos,600000,1,1,"spacious mini flat for letting. location: oregun rent: 700k for a year, or 600.. ",Lagos,Lagos,Ikeja,Oregun,
...ifako gbagada gbagada lagos,600000,2,2,this property is located in gbagada it's consist of of two toilets newly renovat.. ,Lagos,Lagos,Kosofe,Gbagada,100242
majeksangotedo ajah lagos,200000,2,1,a room in a flat with paved compound and good security network. the property i.. ,Lagos,Lagos,Eti Osa,Aja,
oke ira ogba lagos,450000,1,1,this property is located in ogba it's consist of a decent mini for 450k others c.. ,Lagos,Lagos,Ikeja,Ojodu,
lekki phase 2 lekki lagos,550000,1,1,"servicedup for rent, is this shared apartment only the kitchen is shared, in a serene an.. ",Lagos,Lekki,,,
lekki phase 2 lekki lagos,700000,5,1,"serviced newly builta room shared apartment for *rent.* rent: *?700,000* 15k per month service .. ",Lagos,Lekki,,,
...oregun ikeja lagos,650000,1,2,this property is located in ikeja oregun it's consist of a brand new well finish.. ,Lagos,Lagos,Ikeja,Oregun,
