neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
...bariga shomolu lagos,250000,1,1,lovely room self contain price 250k.. ,Lagos,Oworonshoki,Shomolu,Bariga,
enahoro estateogba bus stop ogba lagos,800000,2,1,2 bedroom for rent flat in enahoro housing estate ogba with 1 toilet and 1 ba.. ,Lagos,Ikeja,Ifako/Ijaye,Ifako Agege,
akoka areaakoka yaba lagos,1200000,3,3,furnished newly builta standard 3bedroom apartment all rooms ensuit witj guest toilet neat and newly .. ,Lagos,Lagos,Shomolu,Akoka,
median atunrase medina gbagada lagos,1800000,3,3,3 bedroom flat / apartment for rent median atunrase medina gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,
onike estate area yabaonike yaba lagos,400000,1,1,"furnished serviced newly builta standard spacious roomselfcon at onike estate yaba lagos ,in a good location, .. ",Lagos,Lagos,Lagos Mainland,Onike,
millenuim ups gbagada lagos,1800000,3,3,serviced newly built3 bedroom flat / apartment for rent millenuim/ups gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
"park close, off liverpool road, apapa gra, lagosliverpool apapa lagos",2000000,1,4,vacant 14nos 3bedroom flats + 1 room bq each in a gated mini estate. very tast.. ,Lagos,Lagos,Apapa,Apapa Quays,
ajayi ifako gbagada gbagada lagos,1200000,3,3,furnished serviced3 bedroom studio apartment flat / apartment for rent ajayi ifako-gbagada gbagad.. ,Lagos,Lagos,Kosofe,Gbagada,
atunrase medina gbagada lagos,2500000,4,4,4 bedroom flat / apartment for rent atunrase medina gbagada lagos.. ,Lagos,Lagos,Kosofe,Atunrase Estate,
off place roadoniru victoria island lagos,2500000,1,1,serviced newly builtthere is a one bedroom flat for rent in oniru - 1 bedroom en-suite - visit.. ,Lagos,Lekki,Eti Osa,Maroko,
grammar schoolberger ojodu lagos,700000,3,2,nice 3bedroom flat 2t&b all round tiles with wardrobe. location: off ojodu gr.. ,Lagos,Ojodu,Ikeja,Ojodu,
modupe estatefola agoro yaba lagos,900000,2,1,a lovely 2bedroom apartment available at modupe estate yaba in a good looking en.. ,Lagos,Lagos,Shomolu,Abule ijesha,100001
off folagorofola agoro yaba lagos,500000,1,1,"newly built miniflat and single roomself off bajulaiye road, a yr and half rent.. ",Lagos,Lagos,Shomolu,,
gbagada lagos,450000,1,1,1 bedroom mini flat mini flat flat / apartment for rent gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,
shonibare estate maryland lagos,2500000,2,2,"exquisitely finished 2bedroom flat available at shonibare estate.very tasteful, .. ",Lagos,Lagos,Ikeja,Maryland,
zone cmillenuim ups gbagada lagos,2000000,3,3,furnished3 bedroom flat / apartment for rent zone c millenuim/ups gbagada lagos.. ,Lagos,Gbagada Expressway,Kosofe,Araromi,
 orimolade estateadeniyi jones ikeja lagos,2500000,3,3,3 bedroom flat for rent at adeniyi jones tastefully finished 3 bedroom flat.. ,Lagos,Lagos,Ikeja,Ikeja,
...shomolu shomolu lagos,1000000,2,2,"an excellent ensuites modern 2flats @morroco,in a block of flats,ground floor .. ",Lagos,Lagos,,Somolu,
adelabu surulere lagos,2000000,3,3,discover a comfort way of living in a serene and secured environment of surulere.. ,Lagos,Lagos,Surulere,Surulere,
folagoro areafola agoro yaba lagos,1000000,3,3,"a standard executive 3bedroom apartment available at at folagoro area yaba, very.. ",Lagos,Lagos,Shomolu,Abule ijesha,100001
osapa london lekki lagos,2200000,3,4,features: - new - all rooms ensuite -fitted kitchen.. ,Lagos,Lagos,Eti Osa,Lekki Penninsula II,
-shomolu shomolu lagos,2500000,5,5,alone in the compound spacious 5bedroom duplex with 2 big parlour all rooms ensu.. ,Lagos,Lagos,,Somolu,
...ogudu lagos,2500000,5,5,serious letting executive 3bedroom apartment rent upstairs 2.5million n.. ,Lagos,Lagos,Kosofe,Ojota/Ogudu,
...alagomeji yaba lagos,1500000,5,5,brand new house at alagomeji pricev 1.5m.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
millennium millenuim ups gbagada lagos,1800000,3,3,3 bedroom flat / apartment for rent millennium millenuim/ups gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ogudu orike ogudu lagos,1000000,2,2,2 bedroom flat / apartment for rent ogudu-orike ogudu lagos.. ,Lagos,Lagos,Kosofe,Ojota/Ogudu,
...ikate lekki lagos,2500000,5,4,"location cisco rent 2,500,000 agency 250,000 legal. 250,000 caution 200,0.. ",Lagos,,Eti Osa,Lekki/Ikate And Environs,
bode thomassurulere lagos,2500000,3,3,servicedmassive 3bedroom flat all room ensuit with guest toilet and a bq for rent in an .. ,Lagos,Lagos,Surulere,Surulere,
...soluyi gbagada lagos,900000,3,3,3 bedroom flat / apartment for rent soluyi gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,
onike area yabaonike yaba lagos,350000,1,1,to let;- nice roomself upstairs @ onike yaba lagos in a gated compound good.. ,Lagos,Lagos,Lagos Mainland,Sabo yaba,100001
 off admiralty road lekki phase 1lekki lagos,1500000,1,1,"newly builthere we have mini flats and self contain rent: for the mini-flat 1.8m , 1.. ",Lagos,Lekki,Eti Osa,Eti-Osa,
...ligali ayorinde victoria island lagos,1600000,1,1,self serviced spacious 1bedroom mini rent 1.6m agency 10% legal 5%.. ,Lagos,Lagos,Eti Osa,Victoria Island,
oguduogudu orike ogudu lagos,900000,2,2,furnished2 bedroom flat / apartment for rent ogudu ogudu-orike ogudu lagos.. ,Lagos,Lagos,Kosofe,Ojota/Ogudu,
ifako gbagada gbagada lagos,800000,4,2,"decent 2 bedrooms ground flat in a block of 4, 2toilet , 2 bathroom and all roo.. ",Lagos,Lagos,Kosofe,Gbagada,100242
morroco close to mayung barackshomolu shomolu lagos,700000,1,2,furnished serviced newly builta standard executive miniflat available shomolu in neat clean environment with g.. ,Lagos,Lagos,Shomolu,Jibowu,100001
ifako gbagada gbagada lagos,450000,1,1,1 bedroom mini flat flat / apartment for rent ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,1800000,3,3,3 bedroom flat / apartment for rent ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
folagorofola agoro yaba lagos,250000,1,1,"furnished serviced newly builta standard roomselfcon at folagoro yaba, easy accebility to yaba and highland (2.. ",Lagos,Lagos,Shomolu,,
-ifako gbagada gbagada lagos,1300000,3,3,3 bedroom flat / apartment for rent ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,
mtg gardenisheri north ojodu lagos,900000,2,2,2 bedroom flat to rent.. ,Lagos,Lagos,Ifo,Isheri,
waec area yabafola agoro yaba lagos,600000,1,2,"furnished newly builta standard executive miniflat , newly built screeded wall with designer mable ti.. ",Lagos,Lagos,Shomolu,Abule ijesha,100001
soluyi gbagada lagos,1100000,2,2,newly built2 bedroom flat / apartment for rent soluyi gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,
aguda surulere lagos,1300000,3,4,"sharp and superb 3bedroom flat available at surulere,all ensuite, private stairc.. ",Lagos,Lagos,Surulere,Surulere,
off ifakoabule egba lagos,700000,2,2,2 bedroom ground floor off ifako gbagada .. ,Lagos,Lagos,Alimosho,Abule Egba,
ifakoifako gbagada gbagada lagos,1000000,4,2,"2 bedroom apartment in a block of 4, upstairs flat .. ",Lagos,Lagos,Kosofe,Gbagada,100242
...bye pass ilupeju ilupeju lagos,800000,1,1,"a two bedroom apartment with pop,gated and other aminities @oyewole by shiylon i.. ",Lagos,Ikeja,Ikeja,Ilupeju,
ifakoifako gbagada gbagada lagos,950000,2,2,furnished newly built2 yrs.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,1300000,3,3,3 bedroom flat / apartment for rent ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
olawale ifako gbagada gbagada lagos,1200000,3,3,newly built3 bedroom flat / apartment for rent olawale ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,900000,2,2,2 bedroom flat / apartment for rent ifako-gbagada gbagada lagos.. ,Lagos,Lagos,Kosofe,Gbagada,100242
phase 2 gbagada lagos,1000000,2,2,2 bedroom flat / apartment for rent phase 2 gbagada lagos.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
phase 2 gbagada lagos,1200000,3,3,3 bedroom flat / apartment for rent phase 2 gbagada lagos.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
graogudu gra ogudu lagos,2500000,3,3,3 bedroom flat / apartment for rent gra ogudu gra ogudu lagos.. ,Lagos,Lagos,Kosofe,Ogudu,100242
arepo estate viaberger ojodu lagos,520000,2,2,2 bedroom flat / apartment for rent arepo estate via berger ojodu lagos.. ,Lagos,"Ikeja, Lagos, Nigeria",Obafemi Owode,,100001
"opp.zenith bank,aguda ogba.........aguda(ogba) ogba lagos",1500000,3,4,"furnished newly builtbrand new furnished executive 3bdrm flat with all room en-suite,jacuzzi toilet a.. ",Lagos,Ikeja,Ikeja,Aguda,
"-gateway estate,,magodo gra phase 1 ojodu lagos",850000,2,2,"newly builttastefully finished executive 2bdrm flat at gateway estate,mag0d0 isheri,,,ojodu.. ",Lagos,Lagos,Kosofe,Olowora,
shalom estate off berger express wayberger ojodu lagos,650000,3,3,3 bedroom flat / apartment for rent shalom estate off berger express way berger .. ,Lagos,Ikeja,Ikeja,Isheri,
aguda ogba.....aguda(ogba) ogba lagos,280000,1,1,servicedtastefully finished executive one roomself contain studio apartment at aguda ogb.. ,Lagos,Ojodu,Ikeja,Aguda,
shomolu shomolu lagos,600000,1,1,"furnished newly builtfor rent newly built spacious mini flat with 2 toilet, currently at finishing .. ",Lagos,Lagos,,Somolu,
"isheri area,,0ff mag0d0 isheri r0ad,,,berger ojodu lagos",250000,1,1,"a well finished executive 0ne r00mseif c0ntain studi0 apartment at isheri area,0.. ",Lagos,Ikeja,Ikeja,Isheri,
isheri-area-ojodu berger.......berger ojodu lagos,400000,2,3,a well finished executive 2bdrm flat ground floor with all room en-suite at ishe.. ,Lagos,Lagos,Ikeja,Isheri,
ifako gbagada gbagada lagos,1500000,3,3,"furnished newly builtnewly built, tastefully finished all rooms en-suite spacious 3 bedroom flat with.. ",Lagos,Lagos,Kosofe,Gbagada,100242
eleko ibeju lekki lagos,250000,1,1,furnishedroom and parlour self contain for rent at igando 250k per anum.. ,Lagos,Lekki,Ibeju Lekki,,
ebute igbogbo roadebute ikorodu lagos,420000,2,2,furnishedits a newly renovated 2bedrooms ground floor flat off ebute igbogbo road ikorodu.. ,Lagos,Ikorodu,Ikorodu,Ikorodu,
aguda ogba area............aguda(ogba) ogba lagos,600000,3,2,"tastefully finished executive 3bdrm fiat with master bedr00m at aguda area 0gba,.. ",Lagos,Ojodu,Ikeja,Aguda,
nice and secure estateosapa london lekki lagos,2100000,2,2,serviced newly builtnice and standard ensuit 2bedroom flat with visitors toilet available in a seren.. ,Lagos,,,,
sangotedo ajah lagos,1200000,3,2,standard /newly built 2 bedroom flat @ sangotedo rent 1.2m / 1.3m downstairs a.. ,Lagos,,Eti Osa,Ajah/Sangotedo,
"magodo gra ph.1,isheri........berger ojodu lagos",1300000,3,4,brand new tastefully finished executive 3bdrm flat with clean master bedroom at .. ,Lagos,Lagos,Ifo,Olowora,
olayinka jumbo streetebute ikorodu lagos,650000,2,2,"furnishedits a spacious newly renovated 2bedrooms ground floor flat, spacious sitting roo.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
"0j0du area,,berger ojodu lagos",500000,1,2,"tastefully finished executive mini flat with 2ti0iet and 2bath,all round tiles a.. ",Lagos,Ojodu Berger,,,
ojodu area........berger ojodu lagos,550000,1,2,newly builtvery decent executive mini flat with pop and 2toilet and 2bathroom at ojodu area.. ,Lagos,Ojodu Berger,,,
"bemii estate area,,berger ojodu lagos",500000,1,2,"newly builtbrand new tastefully finished executive mini fiat with 2t and 2bath,at bemii est.. ",Lagos,Ikeja,Ikeja,Isheri,
"--ajayi road 0gba,,,,aguda(ogba) ogba lagos",700000,2,3,tastefully finished executive 2bdrm flat upstairs with master bedroom at aguda a.. ,Lagos,Lagos,,Ojodu,
"ogundele avenue,oke-ira ogba........oke ira ogba lagos",700000,3,3,"tastefully finished executive 3bdrm flat with master bedroom at ogundele avenue,.. ",Lagos,Lagos,Ikeja,Ojodu,
"feminar estate,,olowora ojodu lagos",1000000,3,4,brand new tastefully finished executive 3bdrm flat with all room en-suite at fem.. ,Lagos,Lagos,Kosofe,Olowora,
isheri-area-ojodu berger.......berger ojodu lagos,400000,2,3,"servicedtastefully finished executive 2bdrm flat with all room en-suite at isheri area,o.. ",Lagos,Lagos,Ikeja,Isheri,
"0d0b0 estate,,oke ira ogba lagos",300000,1,1,"newly builtexecutive mini flat at 0d0b0 estate,0ke-ira 0gba,f0r rent.. ",Lagos,Ojodu,,Ogba,
onipanu shomolu lagos,600000,1,1,"newly builtfor rent newly built spacious miniflat with 2 toilet, easily accessible to perd.. ",Lagos,Lagos,Shomolu,Somolu,
"-0gundeie avenue,0ke-ira 0gba,,oke ira ogba lagos",700000,3,3,"tastefully finished executive 3bdrm flat with master bedroom at 0gundeie avenue,.. ",Lagos,Ojodu,,Ogba,
opicisheri north ojodu lagos,750000,3,3,furnishednewly built & tastefully finished 3b/r flat with excellent modern facilities in .. ,Lagos,Lagos,Kosofe,Isheri Olofin,
sholebo extension ebute ikorodu lagos,650000,3,2,"furnishedits a newly renovated 3 bedrooms middle flat in a block of six flats, apartment .. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
arepo estate viaberger ojodu lagos,700000,3,3,3 bedroom flat / apartment for rent arepo estate via berger ojodu lagos.. ,Lagos,"Ikeja, Lagos, Nigeria",Obafemi Owode,,100001
"wiiiiams estate,0gba,,oke ira ogba lagos",750000,2,3,"newly builtbrand new executive 2bdrm fiat en-suite,p0p,wardrobes,pre paid meters etc at wii.. ",Lagos,Ojodu,,Ogba,
"0gunsh0ia street,,aguda 0gba,,,,,,,aguda(ogba) ogba lagos",250000,1,1,newly builttastefully finished and weii ren0vated executive 0ne r00msef c0ntain studi0 apar.. ,Lagos,Ojodu,Ikeja,Aguda,
"--adeshina street,aguda ogba.......aguda(ogba) ogba lagos",350000,1,1,"tastefully finished executive mini flat upstairs with pop at aguda ogba,availabl.. ",Lagos,Ojodu,Ikeja,Aguda,
"bemii estate area,,berger ojodu lagos",500000,1,2,"serviced newly builtbrand new executive mini flat with 2toilet and 2bathroom at bemii estate,0j0du b.. ",Lagos,Ikeja,Ikeja,Isheri,
"oladoyinbo street,aguda ogba.......aguda(ogba) ogba lagos",1500000,3,4,"serviced newly builtbrand new tastefully finished executive 3bdrm flat en-siute with jacuzzi,pop,wat.. ",Lagos,Ojodu,Ikeja,Aguda,
off ajayi road ajayi road ogba lagos,700000,1,1,furnished newly builtnewly built 1 bedroom flat. mini flat for rent in ogba. modern mini flat with po.. ,Lagos,Lagos,,Ojodu,
"isheri area,,0ff mag0d0 isheri r0ad,,,berger ojodu lagos",250000,1,1,"newly builta well finished executive one roomself contain studio apartment at isheri,ojodu .. ",Lagos,Ikeja,Ikeja,Isheri,
-magodo extension isheri.........berger ojodu lagos,600000,2,3,"newly builta well finished executive 2bdrm flat upstairs en-suite at,mag0d0 extensi0n isher.. ",Lagos,Lagos,Ikeja,Isheri,
sangotedo ajah lagos,1000000,1,1,newly built in an estate in sangotedo . rent 1m agency 10% agreement 10% .. ,Lagos,,Eti Osa,Ajah/Sangotedo,
river valley estate.....berger ojodu lagos,850000,2,3,"newly builttastefully finished and spacious executive 2bdrm fiat with master bedr00m,tiles,.. ",Lagos,Ojodu,Ifo,Ojodu,
aguda ogba area............aguda(ogba) ogba lagos,1000000,3,4,"servicedexecutive 3bdrm fiat en-suite,p0p,wardr0bes,water heater etc at aguda 0gba,avail.. ",Lagos,Ojodu,Ikeja,Aguda,
aguda ogba area............aguda(ogba) ogba lagos,250000,1,1,a well finished executive one roomself contain studio apartment at aguda area og.. ,Lagos,Ojodu,Ikeja,Aguda,
aguda ogba.....aguda(ogba) ogba lagos,350000,1,1,"tastefully finished executive mini flat upstairs at aguda ogba,available for ren.. ",Lagos,Ojodu,Ikeja,Aguda,
"wiiiiams estate,0gba,,oke ira ogba lagos",750000,2,3,"newly builtbrand new executive 2bdrm fiat en-suite,p0p,wardr0bes,imp0rted kitchen cabinet,w.. ",Lagos,Ojodu,,Ogba,
"beside nati0nwide fiiiing stati0n,,aguda(ogba) ogba lagos",700000,2,3,tastefully finished executive 2bdrm flat en-suite beside nati0nwide fiiiing stat.. ,Lagos,Ikeja,Ifako/Ijaye,Ojodu,
shomolu lagos,600000,1,1,"furnished newly builtspacious pop finished mini flat with 2 toilet, fitted with kitchen cabinet, just.. ",Lagos,Lagos,,Somolu,
shomolu lagos,500000,1,1,"newly builtfor rent newly built very spacious mini flat, situated off bajuliaye road, sho.. ",Lagos,Lagos,,Somolu,
chevron lekki lagos,800000,1,1,"1 room apartment for rent at chevron lekki - lagos rent: n800,000 apro g.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,12825
unity bus stopigando ikotun igando lagos,120000,1,2,sharp letting 2 units of miniflat and a selfcontain location; unity busst.. ,Lagos,Lagos,Alimosho,Ikotun,
"beside river vaiiey estate,,,berger ojodu lagos",500000,1,2,"executive mini fiat with 2t and 2bath at river vaiiey estate,0j0du berger,,avail.. ",Lagos,Ikeja,Ifo,Ojodu,
"--ay0-aiabi area,,oke ira ogba lagos",850000,3,4,"executive 3bdrm fiat with spacious sitting r00m and bedr00ms at ay0-aiabi area,0.. ",Lagos,Lagos,Surulere,Oke Ira,
shomolu shomolu lagos,500000,1,1,"newly builtnewly built spacious pop finished and screeded miniflat with 2 toilet,situated.. ",Lagos,Lagos,,Somolu,
"bemii estate area,,berger ojodu lagos",500000,1,2,newly builttastefully finished executive mini flat with 2toilet and 2bathroom at 0j0du area.. ,Lagos,Ikeja,Ikeja,Isheri,
aguda ogba area............aguda(ogba) ogba lagos,750000,2,3,"tastefuiiy finished executive 2bdrm fiat en-suite with p0p at aguda 0gba area,,a.. ",Lagos,Ojodu,Ikeja,Aguda,
"0d0b0 estate,,oke ira ogba lagos",300000,1,1,"tastefully finished and spacious mini flat at 0d0b0r estate,0ke-ira 0gba,availab.. ",Lagos,Ojodu,,Ogba,
"bemii estate area,,berger ojodu lagos",500000,1,2,newly builtvery clean and spacious executive mini flat with 2toilet and 2bathroom at bemii .. ,Lagos,Ikeja,Ikeja,Isheri,
aguda ogba area............aguda(ogba) ogba lagos,700000,2,3,"tastefully finished and well renovated executive 2bdrm flat upstairs,personal st.. ",Lagos,Ojodu,Ikeja,Aguda,
gra magodo kosofe ikosi lagos,1300000,3,3,newly built3 bedroom flat / apartment for rent gra magodo kosofe/ikosi lagos.. ,Lagos,Lagos,Kosofe,Ikosi Ketu,
"feminar estate,,olowora ojodu lagos",1000000,3,4,tastefully finished and well renovated executive 3bdrm flat with spacious master.. ,Lagos,Lagos,Kosofe,Olowora,
sholebo estateebute ikorodu lagos,400000,2,2,"furnishedits a spacious 2 bedrooms ground floor flat inside sholebo estate ebute ikorodu,.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
valley view estate oluodo ebute ikoroduebute ikorodu lagos,350000,1,1,"furnished newly builtits a newly built room and parlour self contain ground floor flat, apartment til.. ",Lagos,Ikorodu,Ikorodu,igbogbo,
....lawanson surulere lagos,750000,2,2,"fresh 2 bedroom flat with visitors toilet, wardrobe, fitted kitchen cabinets,.. ",Lagos,Lagos,Surulere,Lawanson,
"karaole estate,off college road ogba.........ifako ogba ogba lagos",230000,1,1,"tastefully finished executive one roomself contain studio apartment at 0gba,avai.. ",Lagos,Lagos,Ifako/Ijaye,Ojodu,
"aguda ogba,off ajayi road ogba......aguda(ogba) ogba lagos",250000,1,1,tastefully finished executive one roomself contain studio apartment at aguda ogb.. ,Lagos,Lagos,,Ojodu,
"kara0ie estate,0ff c0iiege r0ad,,ifako ogba ogba lagos",230000,1,1,newly builttastefully finished executive 0ne r00mseif c0ntain studi0 apartment at kara0ie e.. ,Lagos,Ojodu,,Ogba,
alfa onirungbo streetigbogbo ikorodu lagos,200000,1,2,furnished newly builtthis is a newlybuilt room and parlour self con and 2 bedroom flat to let at mega.. ,Lagos,Ikorodu,Ikorodu,Ikorodu,
"adeshina street,aguda ogba........aguda(ogba) ogba lagos",180000,1,1,"a well finished executive one roomself contain studio apartment at aguda ogba,a.. ",Lagos,Ojodu,Ikeja,Aguda,
"0m0ie ph,2,estate extensi0n,,olowora ojodu lagos",750000,2,3,"a well finished executive 2bdrm flat with master bedroom at 0i0w0ra area,ojodu b.. ",Lagos,Lagos,Kosofe,Olowora,
river valley estate.....berger ojodu lagos,1200000,3,4,a well finished executive 3bdrm flat with all room en-suite at river vaiiey esta.. ,Lagos,Ojodu,Ifo,Ojodu,
"olowora,after westgate supermarket..........berger ojodu lagos",600000,2,2,"tastefully finished executive 2bdrm flat wit master bedroom,wardrobes,all round .. ",Lagos,Lagos,Kosofe,Isheri,
akoka yaba lagos,1600000,3,3,"furnished newly builtexecutive newly built, tastefully finished all rooms en-suite spacious 3 bedroo.. ",Lagos,Lagos,,Lagos Mainland,
shomolu shomolu lagos,500000,1,1,"newly builtfor rent newly built very spacious mini flat, situated off bajulaiye road, sho.. ",Lagos,Lagos,,Somolu,
shomolu lagos,550000,1,1,"furnished newly builtspacious pop finished mini flat with 2 toilet , fitted with kitchen cabinet , ju.. ",Lagos,Lagos,,Somolu,
aguda ogba.....aguda(ogba) ogba lagos,350000,1,1,"tastefully finished executive mini flat upstairs at aguda ogba,available for ren.. ",Lagos,Ojodu,Ikeja,Aguda,
aguda ogba area............aguda(ogba) ogba lagos,400000,1,1,"tastefully finished executive mini fiat at aguda 0gba,,available for rent urgent.. ",Lagos,Ojodu,Ikeja,Aguda,
"0m0ie ph,2,estate extensi0n,,olowora ojodu lagos",600000,1,1,"newly builtbrand new executive mini flat with pop,4,occupants only in the compound at 0m0ie.. ",Lagos,Lagos,Kosofe,Olowora,
aguda ogba area............aguda(ogba) ogba lagos,700000,2,3,"tastefuiiy finished executive 2bdrm fiat upstairs en-suite at aguda 0gba,avaiiab.. ",Lagos,Ojodu,Ikeja,Aguda,
aguda ogba area............ajayi road ogba lagos,400000,1,1,"tastefully finished executive mini flat at aguda area, ogba,available for rent u.. ",Lagos,Lagos,Ikeja,Ojodu,
"beside river vaiiey estate,,,berger ojodu lagos",750000,3,3,furnishedtastefully finished executive 3bdrm fiat with master bedroom beside river vaiiey.. ,Lagos,Ikeja,Ifo,Ojodu,
valley view estate oluodo ebute ikoroduebute ikorodu lagos,550000,2,2,"furnished newly builtits a newly built 2 bedrooms flat in valley view estate, apartment tiled round p.. ",Lagos,Ikorodu,Ikorodu,igbogbo,
beach roadebute ikorodu lagos,600000,3,2,"its a newly renovated 3bedrooms up and ground floor flat available for rent, apa.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
"aguda ogba,off ajayi road ogba......ajayi road ogba lagos",250000,1,1,"tastefully finished executive one roomself contain studio apartment at aguda,off.. ",Lagos,Lagos,,Ojodu,
"bemii estate area,,berger ojodu lagos",500000,1,2,"newly builtbrand new tastefully finished executive mini fiat with 2t and 2bath, at bemii es.. ",Lagos,Ikeja,Ikeja,Isheri,
agungi lekki lagos,1500000,5,2,clean 2 bedrooms for rent at agungi lekki lagos rent: n1.5 million naira .. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,104106
...osapa london lekki lagos,600000,1,1,"1 room self contain for rent at osapa london lekki lagos rent: n600,000 .. ",Lagos,Lagos,Eti Osa,Lekki Penninsula II,
femi jaffason estate........oke ira ogba lagos,350000,1,1,"tastefully finished executive mini flat,4 occupants only in the compound at femi.. ",Lagos,Lagos,Ikeja,Ojodu,
shosanya soluyi gbagada lagos,1200000,3,2,furnished serviced*still available* *direct brief* relatively new 3bedroom upstairs flat wit.. ,Lagos,Lagos,Alimosho,Alimosho,
ologolo lekki lagos,2500000,4,4,4 bedroom flat / apartment for rent ologolo lekki lagos.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
magodo gra phase 1 ojodu lagos,1800000,3,3,3 bedroom flat magodo brooks 1.8m.. ,Lagos,Lagos,,,
fola agoro yaba lagos,1500000,1,1,newly builtit’s a newly built apartment of more than 10 units of roomself contain. (standar.. ,Lagos,Lagos,Shomolu,,
iyana oworokosofe kosofe ikosi lagos,450000,1,1,extensively renovated miniflat upstairs at iyana oworo.property is located in a .. ,Lagos,Lagos,Kosofe,Gbagada,100242
"alapere housing estate ,alaperealapere kosofe ikosi lagos",1200000,4,2,a newly renovated and upgraded 4 bedroom flat in a private estate close to the e.. ,Lagos,Lagos,Kosofe,Ketu,100242
omo dissu streetagric ikorodu lagos,350000,5,1,"spacious 2 bedroom flat at omodisu street, ikorodu rent is 350k prepared meter.. ",Lagos,Ikorodu,Ikorodu,Ikorodu,
...oke ira ogba lagos,700000,3,3,lovely 3 bedroom for rent at oke ira ogba lagos 700k per annum .. ,Lagos,Lagos,Ikeja,Ojodu,
off morroco road shomolu lagos,1000000,3,3,"decent and spacious 3bedroom all rooms ensuit with quess toilet, prepaid meter, .. ",Lagos,Lagos,Shomolu,Somolu,
new roadlekki lagos,1200000,2,2,"2 bedroom flat for rent price: n1,200,000 million agency: 10% legal 10% caut.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,
...shomolu lagos,350000,1,1,"newly builtfor rent newly built decent pop finished room self contain has prepaid meter, i.. ",Lagos,Lagos,,Somolu,
charles boygbagada lagos,350000,1,1,standard roomself contain in a very lovely neighborhood at charley boy gbagada.. ,Lagos,Lagos,,,
ado roadado ajah lagos,1200000,2,3,2 bedroom flat / apartment for rent ado road ado ajah lagos.. ,Lagos,Lagos,Eti Osa,Aja,
...off lekki epe expressway ajah lagos,900000,1,1,servicedvery sweet and classy miniflat @ blenco supermarket facing skymall up for rent ... ,Lagos,Lagos,Eti Osa,Aja,
salem busstopilasan lekki lagos,2000000,3,3,"furnished newly builta newly built 3 bedroom in a block of 9 flat with personal prepaid meter, servi.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,
-shomolu shomolu lagos,750000,5,2,2bedroom flat ensuite with visitor's toilet upstairs at shomolu 750k 1yr rent.. ,Lagos,Lagos,,Somolu,
akerelemasha surulere lagos,600000,1,1,lovely brand new miniflat at akerele surulere. with modern facilities in a secur.. ,Lagos,Lagos,Surulere,Ikate,
olaleye sawmill new garage gbagada lagos,700000,1,1,newly built and well finished mini flat (90% completed). at sawmill olaleye stre.. ,Lagos,Lagos,Shomolu,Somolu,
surulere lagos,650000,1,1,"decent mini flat off babs animashaun rd, surulere rent: #650,000 pa instag.. ",Lagos,Lagos,Surulere,,
"omole ph.2,estate,ojodu berger.......berger ojodu lagos",2500000,3,4,"newly builttastefully finished executive 3bdrm flat with all room en-suite at omole ph.2,es.. ",Lagos,Lagos,Kosofe,Olowora,
off aborisade lawanson surulere lagoslawanson surulere lagos,550000,1,1,nice spacious mini flat with 2t2b upstairs off aborisade lawanson surulere lagos.. ,Lagos,Lagos,Mushin,Ikate,
lekki palm cityajah lagos,1700000,2,2,"newly built8 units of 2 bedroom serviced apartment for rent price: ground floor: ?1,60.. ",Lagos,Lagos,Eti Osa,Aja,
lekki phase 1 lekki lagos,2200000,2,2,spacious 2 bedroom flat for let in lekki phase 1 lagos features!!!! massive .. ,Lagos,Lekki,,Lekki Phase 1,
berger ojodu lagos,600000,2,2,neat spacious first floor spacious compound neat compound dining 2 way en.. ,Lagos,Ojodu Berger,,,
