neighborhood,price,beds,baths,toilets,extra
Ajah Lagos,"₦ 1,100,000",3 beds,4 baths,4 Toilets,Newly Built3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Lekki Phase 1 Lekki Lagos,"₦ 1,800,000",1 beds,1 baths,2 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Oke Ira Ogba Lagos,"₦ 800,000",3 beds,3 baths,3 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
...Lekki Phase 1 Lekki Lagos,"₦ 1,600,000",1 beds,1 baths,2 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
...Ikate Lekki Lagos,"₦ 2,300,000",3 beds,3 baths,4 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
EstateIdado Lekki Lagos,"₦ 850,000",beds,1 baths,1 Toilets,Furnished Serviced3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Apple EstateApple Junction Amuwo Odofin Lagos,"₦ 1,200,000",3 beds, baths, Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Onipanu Shomolu Lagos,"₦ 400,000",beds, baths, Toilets,Newly Built3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
EstateIdado Lekki Lagos,"₦ 700,000",beds,1 baths,1 Toilets,Furnished Serviced3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Off Ajayi okeira Oke Ira Ogba Lagos,"₦ 750,000",2 beds,2 baths,2 Toilets,Furnished Newly Built3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Badore Ajah Lagos,"₦ 1,000,000",3 beds, baths, Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Olawale close off Oriola street AlapereAlapere Kosofe Ikosi Lagos,"₦ 800,000",3 beds,2 baths,2 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
Magodo Gra Phase 1 Ojodu Lagos,"₦ 1,100,000",3 beds,3 baths,4 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
...Chevron Lekki Lagos,"₦ 2,000,000",3 beds,3 baths,4 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
IbezimAdelabu Surulere Lagos,"₦ 1,400,000",2 beds,2 baths,3 Toilets,3 BEDROOM FLAT at Atunda olu street 2nd junction oke ira #800k Christian tenant .. 
...Shomolu Shomolu Lagos,"₦ 1,000,000",2 beds,2 baths,3 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
AGUNFOYE Igbogbo Ikorodu Lagos,"₦ 250,000",2 beds,3 baths,3 Toilets,"Furnished Newly BuiltNewly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Ologolo Lekki Lagos,"₦ 2,500,000",3 beds,3 baths,3 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Off Ajayi okeira Oke-Ira Ogba LagosOke Ira Ogba Lagos,"₦ 650,000",2 beds,1 baths,1 Toilets,"Furnished Newly BuiltNewly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Marshy Hill Estate (Akins)Ado Ajah Lagos,"₦ 1,500,000",beds, baths, Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Lekki phase 1Lekki Phase 1 Lekki Lagos,"₦ 1,800,000",1 beds,1 baths,1 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Charles boyGbagada Lagos,"₦ 350,000",0 beds,0 baths,0 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Magodo Gra Phase 1 Ojodu Lagos,"₦ 2,000,000",beds, baths, Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
...Soluyi Gbagada Lagos,"₦ 700,000",1 beds,1 baths,1 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
-Soluyi Gbagada Lagos,"₦ 700,000",1 beds,1 baths,2 Toilets,"Newly BuiltNewly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Adeniyi Jones Ikeja Lagos,"₦ 1,400,000",beds, baths, Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Startimes EstateAgo Palace Okota Lagos,"₦ 850,000",2 beds,2 baths,3 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Ago Palace Okota Lagos,"₦ 2,500,000",4 beds,4 baths,5 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Ijesha Surulere Lagos,"₦ 1,000,000",2 beds,2 baths,2 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Iyana Oworo by car wash bus stopKosofe Kosofe Ikosi Lagos,"₦ 800,000",3 beds,3 baths,3 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Nice EnvironmentIgbo Efon Lekki Lagos,"₦ 500,000",beds, baths, Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Sangotedo Ajah Lagos,"₦ 1,100,000",3 beds,3 baths,4 Toilets,"Furnished Newly BuiltNewly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Amje area near alakukoAlagbado Abule Egba Lagos,"₦ 230,000",1 beds,1 baths,2 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Shomolu Shomolu Lagos,"₦ 450,000",beds, baths, Toilets,"Newly BuiltNewly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
Ogba Lagos,"₦ 1,100,000",3 beds,3 baths,4 Toilets,"Newly built 3bedroom apartment for rent at magodo phase one, going for 2million .. "
AGUDA OGBA AREA............Aguda(ogba) Ogba Lagos,"₦ 700,000",2 beds,3 baths,3 Toilets,1 bedroom mini flat Mini flat Flat / Apartment for rent Lekki Phase 1 Lekki Lag.. 
Salvation estateAdo Ajah Lagos,"₦ 900,000",beds, baths, Toilets,1 bedroom mini flat Mini flat Flat / Apartment for rent Lekki Phase 1 Lekki Lag.. 
